"","id","Year","Gender (MW)","Race/Ethnicity","State Groups","Admit Date","Admit Date (group)","Acad Rating","Origin Group","Orientation","High School Type","Campus Visit","Open House Status","Fin Aid App","FAFSA Date","Enrolled","Career Objective","Diversity","Honors","PresidentialMerit"
"1",100037,2017,"Men","Black/Af. Amer.","Out-of-State","2/13/2017","February",4,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Engineering",1,0,0
"2",100071,2020,"Women","White","Out-of-State","12/16/2019","Before January",1,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",0,0,0
"3",100120,2020,"Women","Black/Af. Amer.","Out-of-State","9/19/2019","Before January",4,"Search","None","Private","Did not Visit","None","by Apr 30","10/1/2019",0,"Unknown/Deciding",0,0,0
"4",100201,2017,"Men","Black/Af. Amer.","In-State","4/10/2017","April",5,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Engineering",1,0,0
"5",100207,2017,"Women","Black/Af. Amer.","In-State","10/11/2016","Before January",2,"Search","None","Public","Did not Visit","None","by Apr 30","10/1/2016",0,"Health Professions and Related Clinical Sciences",1,0,0
"6",100334,2020,"Women","White","In-State","12/5/2019","Before January",3,"Other","Virtual","Public","Orientation","None","by Apr 30","10/21/2019",1,"Health Professions and Related Clinical Sciences",0,0,0
"7",100461,2019,"Women","Black/Af. Amer.","Out-of-State","12/4/2018","Before January",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"8",100552,2018,"Women","White","In-State","10/24/2017","Before January",2,"Application","2nd","Public","Orientation","None","by Apr 30","10/10/2017",1,"Health Professions and Related Clinical Sciences",0,0,0
"9",100566,2020,"Men","Black/Af. Amer.","In-State","3/11/2020","March",5,"High School Visit","None","Public","Did not Visit","None","None","1/1/2050",0,"Engineering",0,0,0
"10",100740,2018,"Women","White","In-State","10/26/2017","Before January",2,"Search","None","Public","Did not Visit","None","by Apr 30","10/24/2017",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"11",100793,2019,"Women","White","In-State","11/30/2018","Before January",1,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Agriculture, Agriculture Operations, and Related Sciences",0,0,0
"12",100863,2017,"Women","White","Out-of-State","9/13/2016","Before January",1,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"13",100868,2019,"Women","Black/Af. Amer.","In-State","4/15/2019","April",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Visual and Performing Arts",1,0,0
"14",100924,2019,"Women","Hispanic","Out-of-State","1/9/2019","January",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"15",100948,2018,"Women","White","In-State","11/18/2017","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","1/3/2018",0,"Physical Sciences",0,0,0
"16",101045,2019,"Men","Black/Af. Amer.","Out-of-State","11/28/2018","Before January",3,"Private Institutions","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",1,0,0
"17",101126,2019,"Men","Hispanic","In-State","11/13/2018","Before January",2,"High School Visit","None","Public","Other Visit","None","by Apr 30","10/9/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"18",101148,2018,"Men","White","In-State","12/21/2017","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","12/20/2017",0,"Visual and Performing Arts",0,0,0
"19",101169,2019,"Women","White","In-State","12/12/2018","Before January",3,"Application","None","Public","Did not Visit","None","by Apr 30","11/25/2018",0,"Education",0,0,0
"20",101237,2021,"Men","Hispanic","In-State","11/16/2020","Before January",1,"Common App Suspect/Prospect","None","Public","Did not Visit","None","by Apr 30","10/1/2020",0,"Engineering",0,0,0
"21",101279,2019,"Men","Hispanic","In-State","1/17/2019","January",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Security and Protective Services",1,0,0
"22",101427,2021,"Men","Black/Af. Amer.","Out-of-State","1/29/2021","January",1,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"23",101482,2017,"Men","White","In-State","12/21/2016","Before January",2,"Search","None","Public","Did not Visit","None","by Apr 30","10/5/2016",0,"Health Professions and Related Clinical Sciences",0,0,0
"24",101521,2017,"Men","White","In-State","11/21/2016","Before January",2,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Architecture and Related Services",0,0,0
"25",101535,2019,"Women","Black/Af. Amer.","In-State","3/21/2019","March",5,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"26",101592,2020,"Men","White","In-State","1/16/2020","January",6,"Campus Visit","None","Public","Other Visit","None","by Apr 30","1/15/2020",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"27",101658,2019,"Women","White","In-State","11/14/2018","Before January",1,"Other","None","Public","Did not Visit","None","by Apr 30","11/16/2018",0,"Education",0,0,0
"28",101730,2021,"Women","Two or More","Out-of-State","2/17/2021","February",3,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",0,0,0
"29",101904,2021,"Women","Black/Af. Amer.","Out-of-State","4/14/2021","April",4,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",0,0,0
"30",102181,2019,"Women","Black/Af. Amer.","In-State","2/5/2019","February",4,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Business, Management, Marketing, & Related Support Svcs",1,0,0
"31",102192,2019,"Women","White","In-State","9/20/2018","Before January",2,"Internet","None","Public","Other Visit","None","by Apr 30","1/4/2019",0,"None",0,0,0
"32",102278,2018,"Women","Unknown","Out-of-State","10/19/2017","Before January",1,"Search","None","Home Schooled","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
"33",102339,2019,"Women","Two or More","Out-of-State","12/13/2018","Before January",2,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Legal Professions and Studies",1,0,0
"34",102466,2019,"Men","Two or More","In-State","5/16/2019","May",3,"Application","None","Public","Did not Visit","None","May-Sept","5/24/2019",0,"None",1,0,0
"35",102489,2018,"Men","Black/Af. Amer.","Out-of-State","1/4/2018","January",5,"Application","None","Public","Other Visit","Spring","by Apr 30","2/6/2018",0,"Health Professions and Related Clinical Sciences",1,0,0
"36",102590,2018,"Women","Asian, Pacific Isl*","Out-of-State","12/6/2017","Before January",1,"Application","None","Public","Did not Visit","None","None","1/1/2050",0,"Unknown/Deciding",1,0,0
"37",102607,2017,"Women","Two or More","Out-of-State","11/14/2016","Before January",3,"Private Institutions","3rd","Public","Orientation","None","by Apr 30","10/26/2016",0,"Health Professions and Related Clinical Sciences",1,0,0
"38",102634,2020,"Women","Asian, Pacific Isl*","In-State","1/13/2020","January",4,"Search","None","Public","Did not Visit","None","None","1/1/2050",0,"Health Professions and Related Clinical Sciences",0,0,0
